name,ratings,comments,website,phone number,emails
Direkt Enerji,"5,0",(2),https://direktenerji.com/,(0352) 232 82 32,"F, a, i, l, e, d,  , t, o,  , f, e, t, c, h,  , w, e, b, s, i, t, e"
Fiba Yenilenebilir Enerji Holding A.Ş.,"3,5",(32),http://www.fibaenerji.com/,(0216) 554 54 00,No email found
Asunim Türkiye,"5,0",(2),https://www.asunim.com.tr/,(0312) 467 77 72,No email found
Eresin Enerji Yatırım Ortaklığı,"5,0",(1),http://www.eresin.eu/,0551 705 83 05,No email found
Vi enerji muhendislik,Has No rating,Has No comments.,http://www.vienerji.com/,(0352) 606 06 84,"info@vienerji.com, info@vienerji.com"
Sunnyguard Solar Enerji | Kayseri Solar Enerji,Has No rating,Has No comments.,https://sgenerji.com/,0546 238 48 58,info@sgenerji.com
Efektif Enerji,Has No rating,Has No comments.,http://www.efektifenerji.com.tr/,(0352) 224 83 64,"web@efektifenerji.com.tr, web@efektifenerji.com.tr"
Göktekin Enerji Ankara - İç Anadolu Bölge Ofisi,Has No rating,Has No comments.,https://goktekinenerji.com/,(0312) 557 55 58,No email found
Türkiye Nükleer Enerji Anonim Şirketi (TÜNAŞ),"5,0",(13),https://www.tunas.gov.tr/,(0312) 285 00 21,No email found
CW ENERJİ MÜH. TİC. VE SAN. A.Ş.,"4,6",(283),https://cw-enerji.com/,444 2 002,No email found
Hunat Enerji,Has No rating,Has No comments.,http://www.hunatenerji.com/tr/ne-yapiyoruz,(0352) 207 80 55,"sales@hunatenerji.com, sales@hunatenerji.com"
Age Enerji,"4,7",(3),http://www.ageenerji.com.tr/,(0312) 428 12 56,enerji@age.com.tr
CY Enerji Ltd. Şti.,Has No rating,Has No comments.,http://www.cyenerji.com/,0532 771 66 47,Error accessing website
KAIVEN ENERJİ ve YAT.A.Ş. İÇ ANADOLU BÖLGE MÜDÜRLÜĞÜ,"5,0",(4),http://kaiven.com.tr/,(0352) 322 28 28,No email found
Solair Enerji,"4,6",(10),http://www.solairenerji.com/,0533 267 21 30,"info@solairenerji.com, info@solairenerji.com, info@solairenerji.com"
Ensotech Yatırım Enerji Mühendislik,"5,0",(68),http://ensotech.com.tr/,(0352) 513 03 45,"info@ensotech.com.tr, info@ensotech.com.tr"
Venta Enerji Limited Şirketi,"4,7",(40),http://www.enerjisepetim.com/,0552 504 98 03,No email found
Omega Enerji,"3,0",(1),https://www.omegaenerji.com/,(0212) 266 24 98,"omega@omegaenerji.com, omega@omegaenerji.com, omegaenerji@hs03.kep.tr"
Molu Enerji,Has No rating,Has No comments.,http://www.moluenerji.com.tr/,(0352) 697 40 44,"info@moluenerji.com.tr, info@moluenerji.com.tr, info@moluenerji.com.tr, info@moluenerji.com.tr, ajax-loader@2x.gif"
EKİN ENERJİ LTD. ŞTİ.,"5,0",(2),http://ekinenerji.com/,(0312) 473 20 16,"info@ekinenerji.com, info@ekinenerji.com, info@ekinenerji.com"
Delco Enerji Yatırım ve Taahhüt A.Ş.,Has No rating,Has No comments.,https://delcosolar.com.tr/iletisim,(0212) 812 25 47,info@delcosolar.com.tr
Ges Enerji San. Ve Tic. Ltd. Şti.,"1,0",(1),http://www.gesenerji.com/,(0212) 438 45 90,"F, a, i, l, e, d,  , t, o,  , f, e, t, c, h,  , w, e, b, s, i, t, e"
ROFA SOLAR,"5,0",(2),http://www.rofasolar.com/,No phone number,"info@rofasolar.com, info@rofasolar.com"
